,Unnamed: 0,incident_id,title,short_desc,date,location,tags,lat,lng
9464,9464,incident_3939, Groping ," i was walking to my car in a deserted parking lot, when a boy grabbed me from the behind and did unspeakable things.  
						  More Information »
« Less Information
",2014-03-23 11:25:00,"Sarojini Nagar, New Delhi, Delhi, India",Ogling/Facial Expressions/Staring,28.5740324,77.19906689999999
9465,9465,incident_3665, Lewd Behaviour ," I was walking to my car in a deserted parking lot, when a boy grabbed me from the behind & did unspeakable things
night 9 pm  
						  More Information »
« Less Information
",2014-03-23 09:00:00,"Block B, Sarojini Nagar, New Delhi, Delhi 110029, India",Ogling/Facial Expressions/Staring,28.5753375,77.1994797
9466,9466,incident_2721, commenting ," Commenting in metro in the evening.  
						  More Information »
« Less Information
",2014-03-22 23:07:00,"New Delhi, Delhi, India",Commenting,28.6139391,77.2090212
9467,9467,incident_3700, Sexual Harassment ," sexually harassed in a school by her own teacher. teacher used to touch her private areas and abuse her sexually.  
						  More Information »
« Less Information
",2014-03-22 11:00:00,"Manbhawan, Lalitpur, Nepal",Touching /Groping,27.6687473,85.317499
9468,9468,incident_3997, Robbed of jewellry ," Lady wearing jewellry went to her friends house to attend a pooja. On her return two boys came on bicycle and snatched her jewellry.  
						  More Information »
« Less Information
",2014-03-22 07:00:00,"Pratap Nagar, Mayur Vihar Phase 1, New Delhi, Delhi 110091, India",Others,28.6056799,77.2942301
9469,9469,incident_4081, Groping at Vasai station ," A person touched me inappropriately at Vasai Station.  
						  More Information »
« Less Information
",2014-03-21 19:53:00,"Vasai Bus Depot, Koliwada, Vasai West, Vasai, Maharashtra 401202, India",Ogling/Facial Expressions/Staring,19.344617,72.806423
9470,9470,incident_3990, Touching ," A guy was holding a chart he was intentionally touching me again and again.  
						  More Information »
« Less Information
",2014-03-21 09:00:00,"Shyamji Krishna Varma Marg, Shiva Enclave, Pitampura, New Delhi, Delhi 110034, India",Touching /Groping,28.69689439999999,77.1341751
9471,9471,incident_3546, Sexual Harrassement ," I saw a man touching a girl's private part inside a bus.  
						  More Information »
« Less Information
",2014-03-21 02:00:00,"Koteshwor, Kathmandu 44600, Nepal",Touching /Groping,27.6755549,85.3459238
9472,9472,incident_11260, kidnapping ," the subject was following me for a few minutes, I tried to go home, which was a few meters away. In the middle of the street a car stopped,...  
						  More Information »
« Less Information
",2014-03-20 20:00:00,"Cumbres 3o. Sector, 64610 Monterrey, N.L., Mxico",Others,25.7157478,-100.3792671
9473,9473,incident_4152, groped in a shared auto. ," This friend of mine was sitting in an auto rickshaw (sharing). for a long time she felt something poking her breast area. Assuming it to be...  
						  More Information »
« Less Information
",2014-03-20 13:19:00,"Navghar Road, Bhayandar East, Mira Bhayandar, Maharashtra 401105, India",Touching /Groping,19.3093327,72.8590692
9474,9474,incident_3390, Sexual Harrassement ," One man came near to me and said that my breasts were so nice and he wanted to touch those.  
						  More Information »
« Less Information
",2014-03-20 07:00:00,"Baluwatar, Kathmandu 44600, Nepal",Ogling/Facial Expressions/Staring,27.7254865,85.3297752
9475,9475,incident_4982," Touching, groping "," My friend's tuition teacher used to touch her and ask her to come to his house alone.  
						  More Information »
« Less Information
",2014-03-20 04:00:00,"100 Feet Road, Virendar Nagar, Block B, Sant Nagar, Burari, New Delhi, Delhi 110084, India",Touching /Groping,28.7404634,77.1977976
9476,9476,incident_4909," Touching, groping "," Touching, groping  
						  More Information »
« Less Information
",2014-03-20 01:00:00,"Sector 82 Bus Stop, Bhangel, Goyal Colony, Salarpur Khadar, Sector 82, Noida, Uttar Pradesh 201304, India",Touching /Groping,28.5419128,77.388143
9477,9477,incident_3820, Chain snatching ," One aunty was in a rickshaw Her chain was snatched by two guys on a bike. We tried chasing them in our car but were unable to.  
						  More Information »
« Less Information
",2014-03-20 01:00:00,"Sector 7, Rohini, New Delhi, Delhi 110085, India",Others,28.7080569,77.11795409999999
9478,9478,incident_4310," Eve teasing, indecent exposure "," Eve teasing, indecent exposure  
						  More Information »
« Less Information
",2014-03-19 03:00:00,"Lajpat Nagar, Lala Lajpat Rai Road, Block A, Lajpat Nagar II, Lajpat Nagar, New Delhi, Delhi 110024, India",Commenting,28.5705656,77.23646029999999
9479,9479,incident_7458, sexual harassment ," This person always text me in my phone and writes what he is doing, where he has gone, how spent all his day, when even i have told him not...  
						  More Information »
« Less Information
",2014-03-18 21:32:00,"Radisson Hotel, Kathmandu 44600, Nepal",Commenting,27.7199921,85.3213591
9480,9480,incident_5759, Commenting ," A man started commenting and making faces at a girl.  
						  More Information »
« Less Information
",2014-03-18 18:00:00,"Mount Abu, Rajastan",Commenting,24.5925909,72.7156274
9481,9481,incident_4085, Catcalls and groping ," A guy passed comments on my friend and started singing an item song as she passed he felt it.  
						  More Information »
« Less Information
",2014-03-17 19:06:00,"Marine Lines, Maharshi Karve Road, Marine Lines, Mumbai, Maharashtra 400002, India",Taking pictures,18.9460459,72.8235345
9482,9482,incident_3626, Embarrassing Incident ," Somebody on Holi threw an egg near my lower back which was really embarrassing.  
						  More Information »
« Less Information
",2014-03-17 06:00:00,"Amar Colony C Block, Block C, Amar Colony, Lajpat Nagar 4, New Delhi, Delhi, India",Commenting,28.5624933,77.2444668
9483,9483,incident_3352, Sexual Harrassement ," A guy was trying to be physical with one of my friend in Nepal yatayat.  
						  More Information »
« Less Information
",2014-03-17 03:47:00,"Baluwatar, Kathmandu 44600, Nepal",Catcalls/Whistles,27.7254865,85.3297752
9484,9484,incident_3285, Sexual Harassment ," A random guy touched my breast while i was walking by the roadside.  
						  More Information »
« Less Information
",2014-03-17 03:00:00,"Shantinagar, Kathmandu 44600, Nepal",Ogling/Facial Expressions/Staring,27.6915196,85.3420486
9485,9485,incident_3323, Sexual Harrassement ," One girl was abused by her own boyfriend.He forcefully tried to touch her body parts and to have sex with her.  
						  More Information »
« Less Information
",2014-03-17 01:00:00,"Chabahil, Kathmandu 44602, Nepal",Touching /Groping,27.7166069,85.3485072
9486,9486,incident_4876," Touching, groping "," A man touched my butt when i was traveling in the bus  
						  More Information »
« Less Information
",2014-03-16 11:00:00,"Sector 82 Bus Stop, Bhangel, Goyal Colony, Salarpur Khadar, Sector 82, Noida, Uttar Pradesh 201304, India",Touching /Groping,28.5419128,77.388143
9487,9487,incident_3995, Indecent behaviour ," At metro station, bad gesture. Ignored.  
						  More Information »
« Less Information
",2014-03-16 09:00:00,"Metro Pedestrian Underpass, Ajmere Gate, New Delhi, Delhi 110006, India",Catcalls/Whistles,28.6418564,77.221874
9488,9488,incident_6686, Sexually Assaulted and almost raped ," A man tried to sexually assault me  
						  More Information »
« Less Information
",2014-03-15 18:00:00,Kolkata,Touching /Groping,22.572646,88.36389500000001
9489,9489,incident_3364, Sexual Harrassement ," During holi season, while I was going to school, some boys intentionally hit me with ""lollas"" know as ballons filled with water due to which...  
						  More Information »
« Less Information
",2014-03-15 09:00:00,"Dhapasi 44600, Nepal",Others,27.7496863,85.33171329999999
9490,9490,incident_3347, Sexual Harassment ," gang of boys abused me by whistling and using bad words on my way back home.  
						  More Information »
« Less Information
",2014-03-14 07:00:00,"Sankhuwasabha, Nepal",Ogling/Facial Expressions/Staring,27.6141916,87.14228949999999
9491,9491,incident_4118, Harassment ," Harassment in public bus.  
						  More Information »
« Less Information
",2014-03-14 02:00:00,"New Rajdhani Enclave, New Rajdhani Enclave, Swasthya Vihar, New Delhi, Delhi 110092",Touching /Groping,28.6428775,77.2943876
9492,9492,incident_4280, Harassment ," I witnessed incidents of eve teasing and harassment with someone I know.  
						  More Information »
« Less Information
",2014-03-13 21:06:00,"Jama Masjid, Chandni Chowk, New Delhi, Delhi 110006, India",Poor / No Street Lighting,28.6506792,77.23344209999999
9493,9493,incident_4031, Groped on BEST bus 287 ," My friend was groped and inappropriately touched on a BEST bus 287  
						  More Information »
« Less Information
",2014-03-13 19:33:00,"Mumbai, Maharashtra, India",Touching /Groping,19.0759837,72.8776559
9494,9494,incident_4279, Stalked ," I was stalked by a drunk man  
						  More Information »
« Less Information
",2014-03-13 19:05:00,"DC Chowk, Pocket 24, Sector 13, Rohini, New Delhi, Delhi 110085",Ogling/Facial Expressions/Staring,28.7196284,77.12571989999999
9495,9495,incident_2999, Groped on train ," My friend got groped from behind when travelling from CST station.  
						  More Information »
« Less Information
",2014-03-13 17:29:00,"CST, Dadabhai Naoroji Road, Dhobi Talao, Chhatrapati Shivaji Terminus Area, Fort, Mumbai, Maharashtra 400001, India",Touching /Groping,18.9435287,72.83441119999999
9496,9496,incident_3880, Eve teasing ," Someone I know was a victim of eve teasing and harassment.  
						  More Information »
« Less Information
",2014-03-13 10:00:00,"Jama Masjid, Chandni Chowk, New Delhi, Delhi 110006, India",Others,28.6506792,77.23344209999999
9497,9497,incident_3674, Sexual Harassment ," a girl from Shiksyadeep college was going to her house from Sathghumti bato. the road was so long but there was no people around. while coming...  
						  More Information »
« Less Information
",2014-03-13 07:00:00,"Biratnagar, Nepal",Rape / Sexual Assault,26.4524746,87.27178099999999
9498,9498,incident_4899," Commenting, catcall, whistles,touching,clicking pictures "," A group of guys were trying to click pictures with unwelcoming comments and were asking for sexual favors from two girls  
						  More Information »
« Less Information
",2014-03-13 04:00:00,"Rajiv Chowk Metro Station Gate No. 1, Rajiv Chowk, Block B, Connaught Place, New Delhi, Delhi 110001, India",Ogling/Facial Expressions/Staring,28.632986,77.219374
9499,9499,incident_4828," commenting, touching, groping "," Some school boys touched a girl's body at indecent place  
						  More Information »
« Less Information
",2014-03-13 03:00:00,"Ghonda Patti Chauhan, Ghonda, Shahdara, New Delhi, Delhi 110053, India",Taking pictures,28.6890236,77.2670954
9500,9500,incident_3547, Sexual Harrassement ," A man touched be in a festival of indrajatra. tHe man himself was police.  
						  More Information »
« Less Information
",2014-03-13 01:00:00,"Bhaktapur, Nepal",Touching /Groping,27.6710221,85.4298197
9501,9501,incident_4051, Harassed at Thane ," Inappropriately touched during morning and afternoon rush hours at Thane station.  
						  More Information »
« Less Information
",2014-03-12 19:04:00,"Thane station, Thane West, Thane, Maharashtra 400601, India",Touching /Groping,19.1860408,72.9758837
9502,9502,incident_8828, Ogling/facial expressions ," Yes,near the ground- ogling, stalking and  whistling  
						  More Information »
« Less Information
",2014-03-12 18:00:00,"Shyam Nagar, Jogeshwari East, Mumbai, Maharashtra, India",Ogling/Facial Expressions/Staring,19.137675,72.864102
9503,9503,incident_4287, Touching ," I was walking in the evening talking on phone and suddenly a guy hit me on my hand and walked away with his group of friends.  
						  More Information »
« Less Information
",2014-03-12 17:28:00,"Gurdwara Road, Arjun Nagar, Kotla Mubarakpur, South Extension I, New Delhi, Delhi 110003, India",Touching /Groping,28.5741989,77.2262901
9504,9504,incident_3089, Harassment on trains ," I was harassed on the local train.  
						  More Information »
« Less Information
",2014-03-12 13:44:00,"Kurla Railway Station, Moreshwar Patankar Marg, Brahmanwadi, Kurla West, Mumbai, Maharashtra 400024, India",Ogling/Facial Expressions/Staring,19.0655986,72.8791535
9505,9505,incident_3963, Catcalls and whistles in delhi ," Catcalls and whistles in delhi  
						  More Information »
« Less Information
",2014-03-11 17:46:00,"New Delhi, Delhi, India",Catcalls/Whistles,28.6139391,77.2090212
9506,9506,incident_4830," Taking pictures, Commenting "," While coming back from college, some boys started taking pictures and started commenting at the Metro station  
						  More Information »
« Less Information
",2014-03-11 12:00:00,"Nangloi Metro Station, Rohtak Road, Kirari Extension 2, JJ Colony No 1, Nangloi, New Delhi, Delhi 110041, India",Taking pictures,28.6823782,77.064931
9507,9507,incident_10857, Exposing ," Three years back when my friend and I were travelling in a BEST bus from Dadar station, a man came and sat in front of my friend. At frist,...  
						  More Information »
« Less Information
",2014-03-11 08:30:00,"Rail View, Lokmanya Tilak Colony, Dadar, Mumbai, Maharashtra 400014, India",Ogling/Facial Expressions/Staring,19.018323,72.844464
9508,9508,incident_3638, Taking Pictures & Verbal Abuse ," a group of hooligans were clicking pictures of me and my friends, when we approached them & asked to stop they abused us
evening 4 pm  
						  More Information »
« Less Information
",2014-03-11 04:00:00,"Minto Bridge Colony, Barakhamba, New Delhi, Delhi, India",Taking pictures,28.6352092,77.22506729999999
9509,9509,incident_4301," Commenting, touching, groping "," Commenting, touching, groping  
						  More Information »
« Less Information
",2014-03-11 03:00:00,"Dhaula Kuan Enclave 2, Dhaula Kuan, New Delhi, Delhi, India",Catcalls/Whistles,28.6025256,77.1643337
9510,9510,incident_7448, sexual harassment ," a boy an unknown boy touched me  
						  More Information »
« Less Information
",2014-03-10 21:15:00,"Ratna Park Micro Bus Stop, Ratna Park Path, Kathmandu 44600, Nepal",Touching /Groping,27.7067319,85.3153475
9511,9511,incident_5729," Whistling, Commenting "," There were 7-8 people who were following, whistling and asking for my number.  
						  More Information »
« Less Information
",2014-03-10 16:00:00,"Chowpatty, Mumbai, Maharashtra, India",Catcalls/Whistles,18.9518622,72.8165592
9512,9512,incident_2742, Indecent Exposure ," I was going to my husband office.One fellow came to me and asked about some favour. He was on bike and showed  his **.I was very scared and...  
						  More Information »
« Less Information
",2014-03-10 07:00:00,"C Block, Phase 2, Industrial Area, Sector 62, Noida, Uttar Pradesh 201309, India",Indecent exposure,28.6130295,77.36546109999999
9513,9513,incident_4882," Touching, groping "," Touching, groping  
						  More Information »
« Less Information
",2014-03-10 03:00:00,"Block C, Kamla Nagar, New Delhi, Delhi 110007, India",Touching /Groping,28.6810975,77.20279
9514,9514,incident_7685, Sexual Harssment ," some boys on the way to my home make wired facial expression, whistling and stared at me  
						  More Information »
« Less Information
",2014-03-09 18:00:00,"Nayabasti, Patan 44700, Nepal",Ogling/Facial Expressions/Staring,27.6570812,85.324122
9515,9515,incident_3452, Commenting ," I was sitting with my friends, two men were commenting and talking to us ..  
						  More Information »
« Less Information
",2014-03-08 12:00:00,"Sankhuwasabha, Nepal",Commenting,27.6141916,87.14228949999999
9516,9516,incident_4894," Commenting, touching, groping "," a man came and pulled my tee shirt and ran awau  
						  More Information »
« Less Information
",2014-03-07 08:00:00,"Ketipura, Baghpat, Sector 38, Haryana, India",Ogling/Facial Expressions/Staring,28.9279192,77.0894936
9517,9517,incident_4888," Stalking, eve teasing, touching,groping "," Stalking, eve teasing, touching,groping  
						  More Information »
« Less Information
",2014-03-07 06:00:00,"Mamelodi, Pretoria, South Africa",Ogling/Facial Expressions/Staring,-25.7234441,28.4221519
9518,9518,incident_5120, Masturbating ," I saw a nude man masturbating in front of my house. Near SICSR (Symbiosis)  
						  More Information »
« Less Information
",2014-03-06 19:40:00,"Model Colony, Shivajinagar, Pune, Maharashtra, India",Indecent exposure,18.5324846,73.8374954
9519,9519,incident_5075, Touching ," A girl was stuck in the evening with her car which had broken down. A guy approached her and pretended to help her. He happened to be the worst...  
						  More Information »
« Less Information
",2014-03-06 19:20:00,"Sector 9, Gurgaon, Haryana, India",Touching /Groping,28.4603267,77.00000849999999
9520,9520,incident_5015, Showing private parts ," A group of my friends and me were going to the bus stop after celebrating Holi at BCAS, DU. While passing through narrow streets in broad daylight,...  
						  More Information »
« Less Information
",2014-03-06 16:06:00,"Dwarka, New Delhi, Delhi, India",Indecent exposure,28.5822999,77.0499762
9521,9521,incident_5014, Commenting ," I was in college and one boy came and started taunting using bad words.  
						  More Information »
« Less Information
",2014-03-06 08:55:00,"Himachal Pradesh, India",Commenting,31.1048294,77.17339009999999
